code	lc	product_name_en	quantity	brands	brands_tags	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	ingredients_text_en	allergens	allergens_tags	nutrition_data_per	nutrition_data_prepared_per	link	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:ecoscore_grade	off:ecoscore_data.missing_key_data	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	data_sources	obsolete
5376306353283	en	Undo This Mess Super Softener Laundry Liquid	2 Liter	Undo This Mess	undo-this-mess	Laundry liquid	en:laundry-liquid			Australia	en:australia			Water - Purified Solvent, C12-14 Pareth-8* Cleaning agent, Coco-Glucoside* Cleaning agent, Sodium Laureth Sulfate* Cleaning agent, Potassium Oleate* Foam control, Sodium Citrate* Builder, Ethanol* Solvent, Sodium Carbonate Builder, Fragrance* Perfume, Polymer of diallyl-dimethyl-ammonium, chloride and acrylic acid, Softening polymer, Trisodium Dicarboxymethyl Alaninate Chelating agent, Sodium Polyaspartate Chelating agent, Subtilisin (and) alpha Amylase (and) Mannanase, Cleaning Enzyme, Benzisothiazolinone Preservative, Methylisothiazolinone Preservative, Citric Acid Buffering agent, *Plant derived ingredients			100g	100g			unknown	unknown	unknown	1	-5	-15	1	0	App - smoothie-openfoodfacts, Apps	0
9310692602422	en	Undo This Mess Stain Blaster Laundry Liquid 2L	2 Litres	Undo This Mess	undo-this-mess					Australia	en:australia			Water - Purified Solvent, C12-14 Pareth-8* Cleaning agent, Coco-Glucoside* Cleaning agent, Sodium Laureth Sulfate* Cleaning agent, Potassium Oleate* Foam control, Sodium Citrate* Builder, Ethanol* Solvent, Sodium Carbonate Builder, Fragrance* Perfume, Trisodium Dicarboxymethyl Alaninate Chelating agent, Sodium Polyaspartate Chelating agent, Subtilisin (and) alpha Amylase (and), Mannanase, Cleaning Enzyme, Benzisothiazolinone Preservative, Methylisothiazolinone Preservative, Citric Acid Buffering agent, *Plant derived ingredients			100g	100g	https://undothismess.com/products/stain-blaster-laundry-liquid		unknown	unknown	unknown	1	-5	-15	1	0	App - smoothie-openfoodfacts, Apps	0
0342692602125	en	Undo This Mess Deep Clean Laundry Liquid 2L	2 Liter	Undo This Mess	undo-this-mess					Australia	en:australia			Water - Purified Solvent, C12-14 Pareth-8* Cleaning agent, Coco-Glucoside* Cleaning agent, Sodium Laureth Sulfate* Cleaning agent, Potassium Oleate* Foam control, Sodium Citrate* Builder, Ethanol* Solvent, Sodium Carbonate Builder, Fragrance* Perfume, Trisodium Dicarboxymethyl Alaninate Chelating agent, Sodium Polyaspartate Chelating agent, Subtilisin (and) alpha Amylase (and), Mannanase (and) Lipase, Cleaning Enzyme, Benzisothiazolinone Preservative, Methylisothiazolinone Preservative, Citric Acid Buffering agent, *Plant derived ingredients			100g	100g	https://undothismess.com/products/deep-clean-refresher-laundry-liquid	4	en:4-ultra-processed-food-and-drink-products	unknown	unknown	1	-5	-15	1	0	App - smoothie-openfoodfacts, Apps	0
9300622003221	en	Duck Extra Power Toilet Shield, Gel Toilet Cleaner Ocean Burst 500ml	500 mL	Duck	duck					Australia	en:australia			Quaternary Ammonium Compounds 0.46%W/W (DI-N-ALKYL DIMETHYL AMMONIUM CHLORIDE, Alkyl dimethyl benzyl ammonium chloride), other non-hazardous ingredients.			100g	100g			unknown	unknown	unknown	1	-5	-15	1	0	App - smoothie-openfoodfacts, Apps	0
9300622002620	en	Duck Deep Action Gel Toilet Cleaner Pine 750ml	750 mL	Duck	duck					Australia	en:australia			Quaternary Ammonium Compounds 0.46%W/W (DI-N-ALKYL DIMETHYL AMMONIUM CHLORIDE, Alkyl dimethyl benzyl ammonium chloride), other non-hazardous ingredients.			100g	100g	https://www.scjp.com/en-au/products/duck-deep-action-gel-750ml		unknown	unknown	unknown	1	-5	-15	1	0	App - smoothie-openfoodfacts, Apps	0
9300632002610	en	Nifti All Purpose Cleaner Trigger Spray 500ml	500 mL	Nifti	nifti					Australia	en:australia			Water, Sodium Dodecyl Benzene Sulfonate, Dipropylene Glycol Butyl Ether, Alcohols, C10-12, Ethoxylated, Ethanolamine, Ethanol, Sodium Laureth Sulphate, Ammonium Hydroxide, Fragrance			100g	100g	https://www.colgatepalmolive.com.au/brands/nifti/nifti-household-cleaner-multipurpose-trigger		unknown	unknown	unknown	1	-5	-15	1	0	App - smoothie-openfoodfacts, Apps	0
9310692130666	en	Earth Choice Antibacterial All Purpose Surface Spray 600ml		Earth Choice	earth-choice					Australia	en:australia	Woolworths,Coles	woolworths,coles	Water (Purified) - Solvent, Tetrasodium Glutamate Diacetate* - Chelator, Alcohol Denat.* - Solvent, Caprylyl/Capryl Glucoside* - Cleaning agent, Laureth-8* - Cleaning agent, Isopropylidene Gycerol* - Solvent, Cocamine Oxide* - Cleaning agent, Didecyldimonium Chloride* - Antibacterial active, Isopropyl Alcohol - Solvent, Eucalyptus Globulus Leaf Oil* - Fragrance, Citric Acid* - Buffering, Liquitint Brilliant Yellow - Dye, CI 61570 - Dye			100g	100g	https://earthchoice.com.au/products/earth-choice-antibacterial-all-purpose-spray-600ml		unknown	unknown	unknown	1	-5	-15	1	0	App - Yuka, Apps, App - smoothie-openfoodfacts	0
9300615055862	en	Morning Fresh Dishwashing Liquid Tropical Crush	400 mL	Morning fresh	morning-fresh					Australia	en:australia			Water, Sodium Laureth Sulphate, Cocamidopropyl Betaine, Sodium Xylenesulfonate, Poloxamer 188, Fragrance, Tetrasodium EDTA, DMDM Hydantoin, Methylchloroisothiazolinone, Methylisothiazolinone, CI 59040, CI 42090			100g	100g	https://www.woolworths.com.au/shop/productdetails/829570/morning-fresh-tropical-crush-dishwashing-liquid-washing-up-dish-wash		unknown	unknown	unknown	1	-5	-15	1	0	App - smoothie-openfoodfacts, Apps	0
9300615067377	en	Morning Fresh Dishwashing Liquid Strawberry & Guava 400ml	400 mL	Morning fresh	morning-fresh					Australia	en:australia			Water, Sodium Laureth Sulphate, Cocamidopropyl Betaine, Sodium Xylenesulfonate, Poloxamer 188, Fragrance, Tetrasodium EDTA, DMDM Hydantoin, Methylchloroisothiazolinone, Methylisothiazolinone, CI 59040, CI 42090			100g	100g	https://morningfresh.com.au/product/morning-fresh-dishwashing-liquid-strawberry-guava-400ml/		unknown	unknown	unknown	1	-5	-15	1	0	App - smoothie-openfoodfacts, Apps	0
9300615055817	en	Morning Fresh Dishwashing Liquid Original 400ml	400 mL	Morning fresh	morning-fresh					Australia	en:australia			Water, Sodium Laureth Sulphate, Cocamidopropyl Betaine, Sodium Xylenesulfonate, Poloxamer 188, Fragrance, Tetrasodium EDTA, DMDM Hydantoin, Methylchloroisothiazolinone, Methylisothiazolinone, CI 59040, CI 42090			100g	100g	https://morningfresh.com.au/product/morning-fresh-dishwashing-liquid-original-400ml/		unknown	unknown	unknown	1	-5	-15	1	0	App - smoothie-openfoodfacts, Apps	0
9300615055909	en	Morning Fresh Dishwashing Liquid Lemon 400ml	400 mL	Morning fresh	morning-fresh					Australia	en:australia			Water, Sodium Laureth Sulphate, Cocamidopropyl Betaine, Sodium Xylenesulfonate, Poloxamer 188, Fragrance, Tetrasodium EDTA, DMDM Hydantoin, Methylchloroisothiazolinone, Methylisothiazolinone, CI 59040, CI 42090			100g	100g	https://morningfresh.com.au/product/morning-fresh-dishwashing-liquid-lemon-400ml/		unknown	unknown	unknown	1	-5	-15	1	0	App - smoothie-openfoodfacts, Apps	0
9350376003046	en	Fab Laundry Liquid Fresh Blossoms 2L	2 Litre	Fab	fab			Australian made	en:australian-made	Australia	en:australia			Water, Sodium Laureth Ethoxylated Sulfate, Sodium Dodecyl Benzene Sulfonate, C12 - 15 Alcohol EO, Sodium Cocoate, Sodium Chloride, Phosphonic Acid (DTPMP.Na), Silicone Antifoam Compound, Sodium Citrate, Fragrance, Isothiazolinones, Dyes			100g	100g	https://www.fablaundry.com.au/products/fresh-range/fab-fresh-blossom-liquid.html		unknown	unknown	unknown	1	-5	-15	1	0	App - smoothie-openfoodfacts, Apps	0
9350376003848	en	Cold Power Advanced Clean Laundry Liquid Washing Detergent 2L	2 Litre	Cold Power	cold-power			Australian made	en:australian-made	Australia	en:australia			Water, Sodium Laureth Ethoxylated Sulfate, Sodium Dodecyl Benzene Sulfonate, C12-15 Alcohol EO, Sodium Cocoate, Sodium Chloride, Phosphonic Acid (DTPMP.Na), Sodium Borate, Enzymes, Disodium Distyrylbiphenyl Disulfonate, Silicone Antifoam Compound, Sodium Citrate, Fragrance, Isothiazolinones, Dyes.			100g	100g	https://www.coldpower.com.au/products/cold-power-liquid/cold-power-advanced-clean.html		unknown	unknown	unknown	1	-5	-15	1	0	App - smoothie-openfoodfacts, Apps	0
9310645106175	en	Coles Simply Lemon Dishwashing Liquid 1L	1 Litre	Coles	coles			Australian made	en:australian-made	Australia	en:australia	Coles	coles				100g	100g			unknown	unknown	unknown	1	-5	-15	1	0	App - smoothie-openfoodfacts, Apps	0
8850006533000	en	Body Wash Shower Gel Naturals Milk & Honey 1L	1 Litre	Palmolive	palmolive					Australia	en:australia			Water*, Sodium Laureth Sulfate*, Glycerin*, Cocamidopropyl Betaine*, Sodium Chloride*, Fragrance, Cocamide MEA*, Glycol Distearate*, Sodium Salicylate, Sodium Benzoate, Citric Acid*, Tetrasodium EDTA, Coco-Glucoside*, Polyquaternium-7, Lactose*, Glyceryl Oleate*, Glyceryl Stearate*, Honey*, Whey Protein*, CI 19140, CI 16035. *Ingredient of Natural Origin.	Milk	en:milk	100g	100g		4	en:4-ultra-processed-food-and-drink-products	unknown	unknown	1	-5	-15	1	0	App - smoothie-openfoodfacts, Apps	0
